Subject,Investment_Amount,Multiplier,Prop_Returned,Returned,Second_Order_Expectation,Fairness,Soc1,Soc2,Trial
124,5,2,0,0,2,2.0,2.0,1.0,5_2
124,4,2,0,0,1,1.0,1.0,0.0,4_2
124,5,4,0.1,2,7,7.0,6.0,5.0,5_4__2
124,3,2,0,0,1,1.0,0.0,0.0,3_2
124,1,4,0,0,0,0.0,0.0,0.0,1_4
124,4,4,0,0,5,5.0,5.0,4.0,4_4
124,6,2,0,0,2,2.0,2.0,2.0,6_2__3
124,6,4,0.083333333,2,10,10.0,9.0,6.0,6_4__2
124,10,6,0.2,12,30,30.0,28.0,30.0,10_6
124,5,4,0,0,7,7.0,6.0,5.0,5_4__3
124,10,4,0.2,8,20,20.0,18.0,10.0,10_4__2
124,7,2,0.071428571,1,3,3.0,3.0,2.0,7_2
124,2,4,0,0,0,0.0,0.0,0.0,2_4
124,5,2,0,0,2,2.0,2.0,1.0,5_2__2
124,2,4,0,0,0,0.0,0.0,0.0,2_4__2
124,5,4,0,0,7,7.0,6.0,5.0,5_4__4
124,5,2,0,0,2,2.0,2.0,1.0,5_2__3
124,6,4,0.083333333,2,10,10.0,9.0,6.0,6_4__3
124,6,6,0.111111111,4,20,20.0,20.0,16.0,6_6
124,10,6,0.2,12,30,30.0,28.0,30.0,10_6__2
124,3,4,0,0,2,2.0,3.0,3.0,3_4__2
124,4,6,0.083333333,2,15,15.0,15.0,8.0,4_6
124,6,6,0.111111111,4,20,20.0,20.0,16.0,6_6__2
124,6,4,0.083333333,2,10,10.0,9.0,6.0,6_4__4
124,3,4,0,0,2,2.0,3.0,3.0,3_4__3
124,4,6,0,0,15,15.0,15.0,8.0,4_6__2
124,8,4,0.1875,6,15,15.0,14.0,8.0,8_4
124,7,6,0.19047619,8,23,22.0,22.0,20.0,7_6
124,8,2,0,0,4,4.0,3.0,2.0,8_2
124,5,6,0.1,3,17,17.0,16.0,12.0,5_6__2
124,8,4,0.1875,6,15,15.0,14.0,8.0,8_4__2
124,5,6,0.1,3,17,17.0,16.0,12.0,5_6__3
124,2,6,0,0,2,2.0,2.0,0.0,2_6
124,3,6,0,0,13,12.0,11.0,4.0,3_6__2
124,9,2,0.111111111,2,4,4.0,4.0,2.0,9_2
124,8,4,0.1875,6,15,15.0,14.0,8.0,8_4__3
124,2,4,0,0,0,0.0,0.0,0.0,2_4__3
124,7,4,0.214285714,6,12,12.0,11.0,7.0,7_4__2
124,1,2,0,0,0,0.0,0.0,0.0,1_2
124,3,2,0,0,1,1.0,0.0,0.0,3_2__2
124,4,4,0,0,5,5.0,5.0,4.0,4_4__2
124,9,4,0.194444444,7,18,17.0,16.0,9.0,9_4__2
124,9,4,0.194444444,7,18,17.0,16.0,9.0,9_4__3
124,5,4,0,0,7,7.0,6.0,5.0,5_4__5
124,4,4,0,0,5,5.0,5.0,4.0,4_4__3
124,2,4,0,0,0,0.0,0.0,0.0,2_4__4
124,5,4,0,0,7,7.0,6.0,5.0,5_4__6
124,10,4,0.2,8,20,20.0,18.0,10.0,10_4__3
124,4,6,0,0,15,15.0,15.0,8.0,4_6__3
124,8,6,0.208333333,10,25,25.0,25.0,24.0,8_6
124,10,6,0.2,12,30,30.0,28.0,30.0,10_6__3
124,2,2,0,0,0,0.0,0.0,0.0,2_2
124,1,4,0,0,0,0.0,0.0,0.0,1_4__2
124,5,4,0,0,7,7.0,6.0,5.0,5_4__7
124,5,4,0,0,7,7.0,6.0,5.0,5_4__8
124,10,4,0.2,8,20,20.0,18.0,10.0,10_4__4
124,5,6,0.1,3,17,17.0,16.0,12.0,5_6__4
124,4,4,0,0,5,5.0,5.0,4.0,4_4__4
124,5,2,0,0,2,2.0,2.0,1.0,5_2__4
124,4,2,0,0,1,1.0,1.0,0.0,4_2__2
124,9,6,0.203703704,11,26,26.0,26.0,26.0,9_6
124,2,2,0,0,0,0.0,0.0,0.0,2_2__2
124,3,4,0,0,2,2.0,3.0,3.0,3_4__4
126,5,4,0.4,8,10,7.0,8.0,8.0,5_4
126,10,4,0.4,16,20,20.0,20.0,20.0,10_4
126,5,4,0.2,4,10,7.0,8.0,8.0,5_4__2
126,9,4,0.305555556,11,18,17.0,18.0,17.0,9_4
126,2,6,0.333333333,4,4,2.0,2.0,0.0,2_6
126,4,2,0.25,2,8,1.0,4.0,1.0,4_2
126,1,4,0,0,2,0.0,1.0,0.0,1_4
126,8,4,0.40625,13,16,15.0,15.0,15.0,8_4
126,9,4,0.305555556,11,18,17.0,18.0,17.0,9_4__2
126,6,4,0.416666667,10,12,10.0,10.0,10.0,6_4
126,10,4,0.6,24,20,20.0,20.0,20.0,10_4__2
126,4,4,0.375,6,8,5.0,5.0,5.0,4_4
126,4,2,0.125,1,8,1.0,4.0,1.0,4_2__2
126,4,4,0.3125,5,8,5.0,5.0,5.0,4_4__2
126,6,2,0.333333333,4,12,4.0,6.0,5.0,6_2
126,4,6,0.208333333,5,8,9.0,9.0,5.0,4_6
126,2,2,0,0,4,0.0,2.0,0.0,2_2
126,5,4,0.4,8,10,7.0,8.0,8.0,5_4__3
126,6,6,0.305555556,11,12,16.0,16.0,10.0,6_6
126,10,6,0.3,18,20,30.0,30.0,20.0,10_6
126,5,2,0.3,3,10,2.0,5.0,3.0,5_2
126,5,6,0.3,9,10,12.0,12.0,7.0,5_6
126,6,4,0.291666667,7,12,10.0,10.0,10.0,6_4__2
126,2,2,0,0,4,0.0,2.0,0.0,2_2__2
126,3,4,0.333333333,4,6,2.0,3.0,3.0,3_4
126,2,4,0.125,1,4,0.0,2.0,1.0,2_4
126,7,2,0.214285714,3,14,5.0,7.0,5.0,7_2
126,5,6,0.3,9,10,12.0,12.0,7.0,5_6__2
126,10,2,0.5,10,20,10.0,10.0,10.0,10_2
126,5,6,0.3,9,10,12.0,12.0,7.0,5_6__3
126,8,2,0.375,6,16,7.0,8.0,7.0,8_2
126,7,6,0.30952381,13,14,19.0,19.0,12.0,7_6
126,8,4,0.40625,13,16,15.0,15.0,15.0,8_4__2
126,1,2,0,0,2,0.0,1.0,0.0,1_2
126,9,6,0.407407407,22,18,26.0,26.0,17.0,9_6
126,3,2,0,0,6,0.0,3.0,0.0,3_2
126,3,6,0.222222222,4,6,5.0,5.0,2.0,3_6
126,5,4,0.3,6,10,7.0,8.0,8.0,5_4__4
126,10,4,0.5,20,20,20.0,20.0,20.0,10_4__3
126,10,6,0.3,18,20,30.0,30.0,20.0,10_6__2
126,3,6,0.388888889,7,6,5.0,5.0,2.0,3_6__2
126,10,6,0.3,18,20,30.0,30.0,20.0,10_6__3
126,5,4,0.3,6,10,7.0,8.0,8.0,5_4__5
126,3,4,0.166666667,2,6,2.0,3.0,3.0,3_4__2
126,4,4,0.1875,3,8,5.0,5.0,5.0,4_4__3
126,5,4,0.4,8,10,7.0,8.0,8.0,5_4__6
126,5,6,0.4,12,10,12.0,12.0,7.0,5_6__4
126,2,4,0,0,4,0.0,2.0,1.0,2_4__2
126,5,4,0.4,8,10,7.0,8.0,8.0,5_4__7
126,9,4,0.388888889,14,18,17.0,18.0,17.0,9_4__3
126,5,4,0.3,6,10,7.0,8.0,8.0,5_4__8
126,9,2,0.388888889,7,18,8.0,9.0,8.0,9_2
126,10,4,0.5,20,20,20.0,20.0,20.0,10_4__4
126,6,2,0.333333333,4,12,4.0,6.0,5.0,6_2__2
126,4,4,0.3125,5,8,5.0,5.0,5.0,4_4__4
126,6,4,0.416666667,10,12,10.0,10.0,10.0,6_4__3
126,7,4,0.392857143,11,14,12.0,13.0,12.0,7_4
126,8,6,0.291666667,14,16,23.0,23.0,15.0,8_6
126,8,4,0.40625,13,16,15.0,15.0,15.0,8_4__3
126,7,4,0.392857143,11,14,12.0,13.0,12.0,7_4__2
126,5,2,0.2,2,10,2.0,5.0,3.0,5_2__2
126,5,2,0.3,3,10,2.0,5.0,3.0,5_2__3
126,2,4,0,0,4,0.0,2.0,1.0,2_4__3
126,2,4,0,0,4,0.0,2.0,1.0,2_4__4
126,1,6,0,0,2,0.0,0.0,0.0,1_6
126,4,6,0.208333333,5,8,9.0,9.0,5.0,4_6__2
126,4,6,0.208333333,5,8,9.0,9.0,5.0,4_6__3
126,10,2,0.5,10,20,10.0,10.0,10.0,10_2__2
126,6,2,0.333333333,4,12,4.0,6.0,5.0,6_2__3
126,3,4,0.166666667,2,6,2.0,3.0,3.0,3_4__3
126,5,2,0.2,2,10,2.0,5.0,3.0,5_2__4
126,6,4,0.291666667,7,12,10.0,10.0,10.0,6_4__4
126,1,4,0,0,2,0.0,1.0,0.0,1_4__2
126,6,6,0.305555556,11,12,16.0,16.0,10.0,6_6__2
126,3,2,0,0,6,0.0,3.0,0.0,3_2__2
126,3,4,0.166666667,2,6,2.0,3.0,3.0,3_4__4
128,5,4,0.3,6,7,6.0,5.0,6.0,5_4
128,6,2,0.333333333,4,9,4.0,6.0,2.0,6_2
128,4,2,0.25,2,5,1.0,4.0,0.0,4_2
128,3,6,0.222222222,4,3,3.0,5.0,2.0,3_6
128,6,6,0.388888889,14,9,15.0,18.0,12.0,6_6
128,7,4,0.392857143,11,11,10.0,9.0,9.0,7_4
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__2
128,2,4,0.25,2,2,2.0,2.0,0.0,2_4
128,6,2,0.5,6,9,4.0,6.0,2.0,6_2__2
128,2,2,0,0,2,0.0,2.0,0.0,2_2
128,3,4,0.333333333,4,3,3.0,3.0,0.0,3_4
128,1,4,0,0,1,1.0,1.0,0.0,1_4
128,9,4,0.5,18,17,14.0,13.0,12.0,9_4
128,8,4,0.40625,13,14,12.0,11.0,10.0,8_4
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__3
128,1,6,0,0,1,1.0,0.0,0.0,1_6
128,6,6,0.388888889,14,9,15.0,18.0,12.0,6_6__2
128,6,4,0.291666667,7,9,8.0,7.0,8.0,6_4
128,4,2,0.5,4,5,1.0,4.0,0.0,4_2__2
128,10,4,0.5,20,20,16.0,15.0,14.0,10_4
128,7,4,0.392857143,11,11,10.0,9.0,9.0,7_4__2
128,4,6,0.291666667,7,5,8.0,10.0,4.0,4_6
128,5,2,0.5,5,7,3.0,5.0,0.0,5_2
128,2,6,0,0,2,2.0,1.0,0.0,2_6
128,2,4,0,0,2,2.0,2.0,0.0,2_4__2
128,2,4,0,0,2,2.0,2.0,0.0,2_4__3
128,4,4,0.375,6,5,4.0,4.0,4.0,4_4
128,10,4,0.5,20,20,16.0,15.0,14.0,10_4__2
128,10,4,0.5,20,20,16.0,15.0,14.0,10_4__3
128,6,4,0.416666667,10,9,8.0,7.0,8.0,6_4__2
128,5,2,0.5,5,7,3.0,5.0,0.0,5_2__2
128,10,4,0.5,20,20,16.0,15.0,14.0,10_4__4
128,10,6,0.5,30,20,30.0,30.0,20.0,10_6
128,9,4,0.388888889,14,17,14.0,13.0,12.0,9_4__2
128,3,6,0.277777778,5,3,3.0,5.0,2.0,3_6__2
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__4
128,3,2,0,0,3,0.0,3.0,0.0,3_2
128,8,4,0.40625,13,14,12.0,11.0,10.0,8_4__2
128,10,6,0.4,24,20,30.0,30.0,20.0,10_6__2
128,1,4,0,0,1,1.0,1.0,0.0,1_4__2
128,10,2,0.5,10,20,10.0,10.0,7.0,10_2
128,4,4,0.375,6,5,4.0,4.0,4.0,4_4__2
128,9,2,0.5,9,17,9.0,9.0,6.0,9_2
128,2,2,0,0,2,0.0,2.0,0.0,2_2__2
128,5,6,0.3,9,7,12.0,15.0,10.0,5_6
128,7,2,0.5,7,11,5.0,7.0,4.0,7_2
128,3,4,0.333333333,4,3,3.0,3.0,0.0,3_4__2
128,4,6,0.291666667,7,5,8.0,10.0,4.0,4_6__2
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__5
128,9,4,0.5,18,17,14.0,13.0,12.0,9_4__3
128,4,6,0.291666667,7,5,8.0,10.0,4.0,4_6__3
128,10,2,0.5,10,20,10.0,10.0,7.0,10_2__2
128,5,6,0.4,12,7,12.0,15.0,10.0,5_6__2
128,2,4,0,0,2,2.0,2.0,0.0,2_4__4
128,8,4,0.5,16,14,12.0,11.0,10.0,8_4__3
128,6,4,0.416666667,10,9,8.0,7.0,8.0,6_4__3
128,5,6,0.3,9,7,12.0,15.0,10.0,5_6__3
128,6,2,0.5,6,9,4.0,6.0,2.0,6_2__3
128,3,2,0,0,3,0.0,3.0,0.0,3_2__2
128,4,4,0.375,6,5,4.0,4.0,4.0,4_4__3
128,8,2,0.5,8,14,6.0,8.0,5.0,8_2
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__6
128,5,2,0.5,5,7,3.0,5.0,0.0,5_2__3
128,5,6,0.4,12,7,12.0,15.0,10.0,5_6__4
128,7,6,0.404761905,17,11,18.0,21.0,14.0,7_6
